NocRoom West Coast,98.143.147.195,
US DNS,209.84.253.11,
US DNS,198.180.206.15,
US DNS,216.66.77.230,
US DNS,208.78.194.83,
US DNS,50.202.97.126,
US DNS,50.121.118.113,
US DNS,173.219.2.16,
US DNS,66.206.56.210,
US DNS,69.50.192.111,
US DNS,216.119.104.122,
US DNS,12.238.104.82,
US DNS,50.43.248.153,
US DNS,208.54.194.213,
US DNS,173.166.111.137,
US DNS,50.205.19.58,
US DNS,204.11.133.194,
US DNS,66.251.102.52,
US DNS,209.23.236.145,
US DNS,75.145.26.113,
US DNS,208.180.237.172,
US DNS,207.192.196.154,
US DNS,208.54.194.121,
US DNS,184.17.16.62,
US DNS,50.205.19.110,
US DNS,174.48.31.34,
US DNS,173.190.247.52,
US DNS,23.126.111.81,
US DNS,75.103.119.27,
US DNS,75.103.96.166,
US DNS,104.37.102.194,
US DNS,204.228.239.170,
US DNS,207.210.233.4,
US DNS,208.254.148.70,
US DNS,208.106.152.49,
US DNS,66.76.13.250,
US DNS,23.126.49.132,
US DNS,208.254.148.100,
US DNS,69.50.192.128,
US DNS,209.126.148.187,
US DNS,75.103.96.90,
US DNS,50.199.216.214,
US DNS,50.76.118.221,
US DNS,50.246.36.185,
US DNS,66.161.29.33,
US DNS,50.122.209.222,
US DNS,50.43.248.146,
US DNS,209.126.69.252,
US DNS,199.27.185.141,
US DNS,208.106.152.14,
US DNS,173.251.52.240,
US DNS,168.212.252.5,
US DNS,173.160.229.218,
US DNS,72.159.8.100,
US DNS,173.219.32.34,
US DNS,206.255.197.138,
US DNS,216.75.113.182,
US DNS,75.103.96.158,
US DNS,74.114.234.18,
US DNS,75.103.96.13,
US DNS,69.218.31.9,
US DNS,70.186.246.49,
US DNS,75.103.119.19,
US DNS,173.240.241.1,
US DNS,24.144.152.76,
US DNS,209.235.104.147,
US DNS,173.15.80.54,
US DNS,66.79.22.41,
US DNS,70.15.190.114,
US DNS,108.60.212.237,
US DNS,168.62.214.68,
US DNS,107.6.11.164,
US DNS,75.103.96.100,
US DNS,69.245.148.132,
US DNS,67.199.26.162,
US DNS,75.103.96.157,
US DNS,74.218.211.12,
US DNS,50.204.226.113,
US DNS,68.195.223.210,
US DNS,74.117.24.74,
US DNS,128.196.121.4,
US DNS,24.173.16.98,
US DNS,38.110.54.202,
US DNS,131.191.69.216,
US DNS,108.245.126.83,
US DNS,128.177.117.39,
US DNS,69.50.192.124,
US DNS,73.170.43.154,
US DNS,107.6.11.159,
US DNS,75.103.96.92,
US DNS,74.80.234.125,
US DNS,170.158.39.252,
US DNS,67.134.198.206,
US DNS,68.28.208.204,
US DNS,199.180.254.64,
US DNS,107.6.11.158,
US DNS,75.103.96.184,
US DNS,74.201.39.203,
US DNS,23.25.163.173,
US DNS,216.119.104.18,
US DNS,74.220.232.250,
US DNS,68.28.208.199,
US DNS,66.162.39.114,
US DNS,75.103.96.29,
US DNS,128.95.114.49,
US DNS,68.28.208.215,
US DNS,199.241.182.254,
US DNS,208.87.241.170,
US DNS,69.163.32.8,
US DNS,75.103.96.103,
US DNS,199.27.185.149,
US DNS,108.60.212.154,
US DNS,107.6.11.162,
US DNS,208.186.122.70,
US DNS,66.252.79.12,
US DNS,108.60.212.139,
US DNS,75.103.96.99,
US DNS,208.253.57.5,
US DNS,216.178.91.66,
US DNS,107.6.11.155,
US DNS,75.130.107.144,
US DNS,107.161.16.30,
US DNS,204.15.74.181,
US DNS,75.103.96.93,
US DNS,75.103.96.154,
US DNS,173.248.155.85,
US DNS,206.51.100.69,
US DNS,205.215.193.100,
US DNS,216.222.148.100,
US DNS,99.54.123.126,
US DNS,75.103.96.38,
US DNS,208.186.122.73,
US DNS,144.202.241.5,
US DNS,173.15.213.193,
US DNS,192.235.87.147,
US DNS,129.7.73.2,
US DNS,206.81.96.55,
US DNS,208.175.130.3,
US DNS,75.103.96.168,
US DNS,69.57.63.92,
US DNS,168.180.213.55,
US DNS,216.161.200.36,
US DNS,65.60.124.3,
US DNS,216.146.71.83,
US DNS,50.193.18.107,
US DNS,75.103.96.102,
US DNS,64.91.104.49,
US DNS,173.166.229.209,
US DNS,107.6.11.161,
US DNS,173.14.16.62,
US DNS,208.70.124.2,
US DNS,74.174.196.1,
US DNS,77.234.41.107,
US DNS,96.57.127.250,
US DNS,216.138.97.146,
US DNS,69.9.160.191,
US DNS,75.103.96.101,
US DNS,208.106.131.30,
US DNS,208.89.96.56,
US DNS,66.188.25.114,
US DNS,216.190.97.1,
US DNS,75.103.96.183,
US DNS,204.107.138.3,
US DNS,24.248.56.94,
US DNS,107.6.11.157,
US DNS,108.170.5.138,
US DNS,207.183.243.91,
US DNS,67.199.100.45,
US DNS,75.148.31.69,
US DNS,198.251.98.18,
US DNS,107.6.11.102,
US DNS,67.60.10.206,
US DNS,38.108.220.114,
US DNS,167.206.248.17,
US DNS,153.39.49.42,
US DNS,137.164.227.72,
US DNS,96.27.243.150,
US DNS,204.107.103.4,
US DNS,40.141.126.156,
US DNS,129.237.112.4,
US DNS,12.204.27.12,
US DNS,198.145.120.130,
US DNS,184.16.230.3,
US DNS,208.40.5.2,
US DNS,74.121.216.16,
US DNS,38.110.54.192,
US DNS,68.15.35.111,
US DNS,173.244.164.78,
US DNS,69.63.160.7,
US DNS,75.103.96.65,
US DNS,38.110.54.196,
US DNS,99.38.213.238,
US DNS,208.48.51.31,
US DNS,205.237.192.93,
US DNS,50.193.18.109,
US DNS,23.31.104.141,
US DNS,137.164.227.71,
US DNS,98.100.99.27,
US DNS,107.6.11.160,
US DNS,66.129.73.216,
US DNS,107.6.11.156,
US DNS,69.41.160.26,
US DNS,24.119.38.253,
US DNS,129.7.73.42,
US DNS,98.189.119.251,
US DNS,75.103.96.176,
US DNS,74.42.217.85,
US DNS,209.190.121.194,
US DNS,50.195.215.105,
US DNS,38.110.54.184,
US DNS,216.174.118.100,
US DNS,50.251.33.180,
US DNS,198.145.120.167,
US DNS,38.110.54.206,
US DNS,173.13.247.137,
US DNS,64.77.84.72,
US DNS,38.110.54.187,
US DNS,208.99.243.17,
US DNS,64.28.35.4,
US DNS,69.42.118.232,
US DNS,204.57.114.99,
US DNS,38.110.54.199,
US DNS,199.187.127.201,
US DNS,173.12.111.211,
US DNS,38.110.54.191,
US DNS,173.245.39.171,
US DNS,206.210.95.11,
US DNS,67.52.15.27,
US DNS,50.247.23.105,
US DNS,208.89.96.165,
US DNS,173.13.94.85,
US DNS,173.220.228.218,
US DNS,207.69.188.166,
US DNS,204.107.138.1,
US DNS,108.58.27.3,
US DNS,205.237.192.98,
US DNS,216.242.121.2,
US DNS,65.171.146.11,
US DNS,75.103.96.97,
US DNS,75.146.140.229,
US DNS,216.17.249.25,
US DNS,156.110.39.250,
US DNS,216.81.44.202,
US DNS,67.203.13.92,
US DNS,198.200.195.11,
US DNS,216.68.91.21,
US DNS,24.89.186.74,
US DNS,208.115.63.188,
US DNS,108.23.8.72,
US DNS,173.219.14.82,
US DNS,67.78.94.126,
US DNS,71.246.56.74,
US DNS,67.199.6.30,
US DNS,66.79.6.181,
US DNS,66.125.171.35,
US DNS,4.53.160.75,
US DNS,66.111.32.3,
US DNS,157.91.24.130,
US DNS,216.227.247.23,
US DNS,74.92.235.233,
US DNS,50.122.211.13,
US DNS,74.202.88.220,
US DNS,208.77.56.46,
US DNS,208.81.243.50,
US DNS,216.99.119.26,
US DNS,198.0.52.60,
US DNS,65.168.234.7,
US DNS,12.188.225.3,
US DNS,50.84.197.170,
US DNS,74.174.200.5,
US DNS,74.42.217.101,
US DNS,71.246.56.79,
US DNS,173.166.161.119,
US DNS,24.97.100.194,
US DNS,208.34.193.170,
US DNS,64.34.185.9,
US DNS,208.66.105.3,
US DNS,50.122.211.112,
US DNS,70.175.224.194,
US DNS,63.234.111.80,
US DNS,209.252.248.3,
US DNS,192.155.84.196,
US DNS,107.178.9.181,
US DNS,71.246.56.72,
US DNS,65.111.89.102,
US DNS,64.111.27.7,
US DNS,67.199.6.31,
US DNS,67.199.6.28,
US DNS,72.214.232.30,
US DNS,108.23.8.71,
US DNS,173.54.117.144,
US DNS,131.193.223.88,
US DNS,208.180.242.21,
US DNS,50.122.211.52,
US DNS,63.231.185.246,
US DNS,71.246.56.76,
US DNS,23.30.143.209,
US DNS,64.107.45.5,
US DNS,76.8.234.13,
US DNS,71.216.56.142,
US DNS,12.132.167.252,
US DNS,216.117.186.180,
US DNS,199.16.102.19,
US DNS,96.61.158.108,
US DNS,129.237.112.1,
US DNS,50.122.215.2,
US DNS,184.191.224.162,
US DNS,173.8.93.245,
US DNS,74.118.5.101,
US DNS,199.171.96.5,
US DNS,69.15.195.218,
US DNS,76.77.139.17,
US DNS,65.125.102.30,
US DNS,216.162.88.132,
US DNS,63.196.27.34,
US DNS,205.138.224.136,
US DNS,64.25.8.242,
US DNS,67.51.226.98,
US DNS,66.225.36.177,
US DNS,74.42.217.113,
US DNS,216.150.29.127,
US DNS,64.132.7.130,
US DNS,199.255.95.193,
US DNS,12.91.225.238,
US DNS,50.122.215.80,
US DNS,66.129.73.214,
US DNS,216.106.114.14,
US DNS,205.222.6.161,
US DNS,70.63.69.170,
US DNS,50.243.121.83,
US DNS,65.197.137.51,
US DNS,70.183.42.175,
US DNS,50.240.166.50,
US DNS,70.105.79.153,
US DNS,50.194.130.97,
US DNS,50.75.79.202,
US DNS,99.99.99.193,
US DNS,97.64.229.178,
US DNS,50.84.88.9,
US DNS,204.11.164.161,
US DNS,207.68.215.194,
US DNS,204.11.164.167,
US DNS,65.13.103.153,
US DNS,208.111.6.3,
US DNS,50.122.215.102,
US DNS,76.74.202.194,
US DNS,173.161.245.225,
US DNS,204.11.164.189,
US DNS,134.215.227.114,
US DNS,134.241.192.17,
US DNS,63.221.82.194,
US DNS,108.179.34.214,
US DNS,67.199.6.26,
US DNS,50.197.50.177,
US DNS,204.10.164.6,
US DNS,209.252.248.4,
US DNS,12.108.159.218,
US DNS,12.201.129.194,
US DNS,209.94.40.2,
US DNS,107.135.20.89,
US DNS,204.11.164.190,
US DNS,68.17.5.163,
US DNS,206.64.118.212,
US DNS,64.87.2.54,
US DNS,66.175.201.182,
US DNS,70.89.98.205,
US DNS,67.199.6.29,
US DNS,216.236.10.39,
US DNS,216.101.114.100,
US DNS,134.39.250.240,
US DNS,74.62.13.134,
US DNS,216.106.114.17,
US DNS,137.164.228.68,
US DNS,137.164.228.69,
US DNS,204.10.78.175,
US DNS,50.120.215.2,
US DNS,66.112.73.87,
US DNS,205.222.6.171,
US DNS,204.11.164.174,
US DNS,206.123.69.4,
US DNS,50.63.52.101,
US DNS,205.222.6.181,
US DNS,208.80.84.30,
US DNS,50.122.215.103,
US DNS,50.122.215.100,
US DNS,67.77.35.170,
US DNS,24.103.127.78,
US DNS,50.122.215.82,
US DNS,67.211.49.10,
US DNS,50.247.169.141,
US DNS,50.121.219.250,
US DNS,128.8.221.10,
US DNS,204.11.164.188,
US DNS,50.249.188.69,
US DNS,70.63.163.92,
US DNS,173.9.188.21,
US DNS,107.204.222.60,
US DNS,50.201.129.170,
US DNS,72.73.30.2,
US DNS,216.131.96.103,
US DNS,50.22.177.66,
US DNS,216.239.32.40,
US DNS,207.3.146.73,
US DNS,74.223.151.15,
US DNS,209.124.130.159,
US DNS,147.97.16.66,
US DNS,66.122.95.218,
US DNS,66.52.100.11,
US DNS,173.161.65.201,
US DNS,66.76.239.24,
US DNS,184.60.148.6,
US DNS,96.56.241.107,
US DNS,204.11.164.164,
US DNS,67.41.16.114,
US DNS,74.104.120.6,
US DNS,67.78.93.238,
US DNS,174.141.68.60,
US DNS,65.125.102.18,
US DNS,64.91.38.5,
US DNS,204.11.164.175,
US DNS,69.29.56.65,
US DNS,199.233.98.16,
US DNS,64.235.44.122,
US DNS,50.40.60.166,
US DNS,50.246.129.194,
US DNS,209.64.195.10,
US DNS,209.200.117.223,
US DNS,168.215.63.7,
US DNS,69.55.212.119,
US DNS,216.231.27.139,
US DNS,199.48.199.54,
US DNS,50.251.130.1,
US DNS,74.208.250.187,
US DNS,71.43.46.59,
US DNS,198.36.22.245,
US DNS,12.153.5.149,
US DNS,199.26.11.18,
US DNS,216.147.163.233,
US DNS,137.203.5.1,
US DNS,65.127.244.113,
US DNS,209.215.109.61,
US DNS,206.245.163.3,
US DNS,208.180.244.197,
US DNS,64.9.215.130,
US DNS,216.157.217.130,
US DNS,50.122.215.60,
US DNS,63.227.145.47,
US DNS,75.148.63.125,
US DNS,207.30.161.182,
US DNS,207.80.115.200,
US DNS,98.21.248.208,
US DNS,216.106.14.194,
US DNS,68.109.249.134,
US DNS,173.209.175.125,
US DNS,74.218.68.69,
US DNS,74.218.68.68,
US DNS,208.93.208.164,
US DNS,216.224.163.85,
US DNS,74.94.42.116,
US DNS,76.79.37.3,
US DNS,199.189.64.207,
US DNS,70.91.253.220,
US DNS,74.221.104.142,
US DNS,12.39.101.231,
US DNS,216.82.218.66,
US DNS,209.63.6.74,
US DNS,207.62.90.10,
US DNS,65.127.244.121,
US DNS,173.8.120.49,
US DNS,198.30.209.74,
US DNS,167.206.174.66,
US DNS,204.15.204.73,
US DNS,192.238.26.201,
US DNS,208.68.224.43,
US DNS,65.49.37.195,
US DNS,66.179.80.204,
US DNS,68.115.237.42,
US DNS,50.126.226.0,
US DNS,70.182.110.6,
US DNS,50.248.50.81,
US DNS,74.221.170.10,
US DNS,18.7.25.235,
US DNS,69.25.169.39,
US DNS,12.12.133.3,
US DNS,198.90.11.200,
US DNS,64.60.200.202,
US DNS,68.115.237.43,
US DNS,173.15.15.85,
US DNS,162.227.184.117,
US DNS,204.126.179.9,
US DNS,67.23.78.214,
US DNS,72.10.11.126,
US DNS,74.200.67.234,
US DNS,209.251.75.183,
US DNS,69.20.169.49,
US DNS,216.167.163.171,
US DNS,104.37.228.20,
US DNS,64.233.245.106,
US DNS,192.238.26.202,
US DNS,69.131.167.146,
US DNS,206.15.226.2,
US DNS,38.67.11.248,
US DNS,68.73.226.35,
US DNS,168.180.213.200,
US DNS,198.144.226.11,
US DNS,24.106.250.59,
US DNS,67.199.121.64,
US DNS,68.73.226.34,
US DNS,206.193.205.68,
US DNS,76.72.165.73,
US DNS,67.135.144.1,
US DNS,209.208.224.204,
US DNS,205.166.230.66,
US DNS,216.218.163.82,
US DNS,63.134.159.113,
US DNS,204.70.127.127,
US DNS,76.74.202.215,
US DNS,47.21.199.134,
US DNS,216.167.163.163,
US DNS,207.190.16.66,
US DNS,173.14.138.117,
US DNS,216.54.124.61,
US DNS,63.231.238.242,
US DNS,100.32.119.3,
US DNS,64.247.192.5,
US DNS,173.11.228.117,
US DNS,76.110.18.181,
US DNS,173.14.138.114,
US DNS,216.230.123.135,
US DNS,216.111.124.198,
US DNS,72.55.65.34,
US DNS,74.231.198.2,
US DNS,69.4.46.177,
US DNS,216.230.123.180,
US DNS,173.14.138.122,
US DNS,108.171.177.224,
US DNS,12.39.101.234,
US DNS,24.106.250.60,
US DNS,72.250.190.30,
US DNS,104.45.139.212,
US DNS,173.14.138.113,
US DNS,72.55.65.35,
US DNS,173.14.138.137,
US DNS,216.230.123.142,
US DNS,216.230.123.148,
US DNS,216.171.252.54,
US DNS,173.14.138.119,
US DNS,199.101.82.13,
US DNS,50.125.119.234,
US DNS,173.14.138.118,
US DNS,68.165.114.226,
US DNS,209.236.75.230,
US DNS,38.125.87.140,
US DNS,216.230.123.131,
US DNS,72.55.65.37,
US DNS,216.230.123.156,
US DNS,12.131.101.32,
US DNS,173.168.44.73,
US DNS,216.155.123.34,
US DNS,208.87.44.109,
US DNS,206.130.130.209,
US DNS,97.77.28.117,
US DNS,108.171.177.124,
US DNS,173.14.138.132,
US DNS,64.184.92.102,
US DNS,65.182.92.13,
US DNS,216.230.123.166,
US DNS,63.75.183.5,
US DNS,50.63.149.88,
US DNS,72.241.62.214,
US DNS,75.148.235.51,
US DNS,216.230.123.155,
US DNS,24.123.203.111,
US DNS,67.199.120.171,
US DNS,12.54.103.116,
US DNS,75.103.119.241,
US DNS,173.14.138.124,
US DNS,216.230.123.147,
US DNS,70.61.27.66,
US DNS,70.165.26.58,
US DNS,64.185.53.166,
US DNS,216.70.46.106,
US DNS,209.255.181.185,
US DNS,66.231.17.163,
US DNS,199.68.253.235,
US DNS,64.94.54.3,
US DNS,63.231.77.65,
US DNS,76.72.8.21,
US DNS,107.132.71.7,
US DNS,173.0.52.114,
US DNS,72.37.163.5,
US DNS,98.113.154.106,
US DNS,216.173.178.83,
US DNS,208.89.249.27,
US DNS,216.201.178.74,
US DNS,216.12.254.250,
US DNS,50.48.30.41,
US DNS,104.181.217.233,
US DNS,128.121.41.163,
US DNS,209.237.227.199,
US DNS,75.103.111.227,
US DNS,69.38.129.86,
US DNS,216.159.169.11,
US DNS,66.114.183.236,
US DNS,74.52.104.19,
US DNS,209.237.227.194,
US DNS,64.124.156.72,
US DNS,99.112.144.134,
US DNS,104.130.17.146,
US DNS,72.90.84.227,
US DNS,68.178.130.47,
US DNS,209.90.229.26,
US DNS,72.90.84.230,
US DNS,64.72.39.21,
US DNS,216.74.251.206,
US DNS,96.10.165.62,
US DNS,50.44.20.30,
US DNS,216.52.221.132,
US DNS,208.123.153.190,
US DNS,134.39.185.151,
US DNS,74.52.104.18,
US DNS,199.101.81.97,
US DNS,98.100.154.199,
US DNS,216.218.249.218,
US DNS,63.130.249.165,
US DNS,76.205.190.201,
US DNS,47.19.34.7,
US DNS,23.25.151.177,
US DNS,38.118.26.252,
US DNS,12.248.176.226,
US DNS,75.60.233.221,
US DNS,209.237.227.196,
US DNS,64.207.227.103,
US DNS,65.39.154.31,
US DNS,216.240.137.240,
US DNS,24.73.254.90,
US DNS,74.92.21.19,
US DNS,74.94.250.146,
US DNS,98.213.20.114,
US DNS,128.121.41.162,
US DNS,199.91.66.19,
US DNS,129.7.100.23,
US DNS,162.202.210.177,
US DNS,205.237.192.103,
US DNS,74.203.248.220,
US DNS,96.57.249.2,
US DNS,75.33.100.162,
US DNS,173.246.61.58,
US DNS,108.14.15.91,
US DNS,69.24.213.47,
US DNS,64.129.76.100,
US DNS,8.193.13.26,
US DNS,68.171.15.195,
US DNS,24.206.139.106,
US DNS,208.105.9.78,
US DNS,205.237.192.74,
US DNS,129.7.234.156,
US DNS,216.75.92.29,
US DNS,205.237.192.97,
US DNS,204.106.240.53,
US DNS,75.144.252.245,
US DNS,67.135.75.16,
US DNS,64.188.63.171,
US DNS,50.27.159.60,
US DNS,198.146.78.233,
US DNS,66.132.1.2,
US DNS,168.215.92.56,
US DNS,209.137.133.52,
US DNS,216.33.116.102,
US DNS,139.127.252.15,
US DNS,65.39.153.67,
US DNS,199.44.218.3,
US DNS,205.237.192.77,
US DNS,204.196.215.8,
US DNS,64.8.44.10,
US DNS,68.171.15.196,
US DNS,98.101.21.99,
US DNS,66.103.151.210,
US DNS,71.35.78.9,
US DNS,71.188.76.5,
US DNS,50.48.30.95,
US DNS,216.98.109.133,
US DNS,66.103.151.212,
US DNS,198.110.32.233,
US DNS,66.103.151.213,
US DNS,206.123.201.211,
US DNS,24.173.130.130,
US DNS,64.60.160.2,
US DNS,72.18.139.226,
US DNS,74.101.52.179,
US DNS,205.238.211.124,
US DNS,198.146.78.234,
US DNS,50.253.255.193,
US DNS,72.185.13.11,
US DNS,67.34.128.136,
US DNS,204.16.241.34,
US DNS,64.188.63.172,
US DNS,50.241.233.149,
US DNS,64.203.153.22,
US DNS,50.30.80.59,
US DNS,207.98.221.11,
US DNS,207.179.3.26,
US DNS,206.78.48.98,
US DNS,50.63.174.247,
US DNS,199.192.205.100,
US DNS,104.36.243.50,
US DNS,72.48.237.15,
US DNS,167.142.207.26,
US DNS,198.241.55.11,
US DNS,153.39.7.42,
US DNS,69.31.146.214,
US DNS,69.7.19.70,
US DNS,98.191.209.97,
US DNS,107.6.12.60,
US DNS,12.152.124.78,
US DNS,216.228.104.3,
US DNS,204.93.160.160,
US DNS,69.30.42.135,
US DNS,12.132.115.10,
US DNS,23.120.232.75,
US DNS,216.66.86.122,
US DNS,50.243.232.57,
US DNS,8.26.1.3,
US DNS,206.210.91.103,
US DNS,184.10.217.199,
US DNS,68.52.248.218,
US DNS,24.97.229.92,
US DNS,64.29.77.253,
US DNS,71.126.135.85,
US DNS,76.216.76.97,
US DNS,66.146.160.9,
US DNS,65.223.219.25,
US DNS,96.44.176.2,
US DNS,216.187.180.154,
US DNS,107.6.12.193,
US DNS,64.5.52.69,
US DNS,173.208.214.92,
US DNS,107.6.12.194,
US DNS,216.240.176.187,
US DNS,64.139.137.66,
US DNS,204.11.104.171,
US DNS,152.179.138.58,
US DNS,50.249.26.42,
US DNS,104.36.234.65,
US DNS,66.187.166.250,
US DNS,209.166.146.156,
US DNS,184.2.232.2,
US DNS,209.23.112.230,
US DNS,50.248.167.9,
US DNS,66.206.167.2,
US DNS,24.123.192.38,
US DNS,70.91.62.37,
US DNS,208.201.39.14,
US DNS,96.61.228.146,
US DNS,204.27.61.205,
US DNS,64.139.137.78,
US DNS,12.170.92.245,
US DNS,24.180.0.38,
US DNS,64.203.166.139,
US DNS,24.104.6.46,
US DNS,64.239.71.20,
US DNS,174.77.177.240,
US DNS,23.102.153.205,
US DNS,207.140.140.17,
US DNS,173.162.195.49,
US DNS,24.73.244.134,
US DNS,163.153.167.242,
US DNS,216.167.196.10,
US DNS,23.253.161.27,
US DNS,168.223.3.20,
US DNS,24.144.1.35,
US DNS,96.44.135.230,
US DNS,65.170.163.201,
US DNS,129.252.121.44,
US DNS,24.105.181.65,
US DNS,131.210.1.26,
US DNS,66.194.19.70,
US DNS,64.184.92.103,
US DNS,69.41.13.254,
US DNS,173.201.176.53,
US DNS,24.103.1.130,
US DNS,64.182.71.23,
US DNS,216.167.196.12,
US DNS,64.17.101.40,
US DNS,69.34.7.45,
US DNS,173.44.40.111,
US DNS,208.69.236.23,
US DNS,64.17.101.92,
US DNS,174.46.174.144,
US DNS,64.17.101.81,
US DNS,216.70.1.86,
US DNS,71.87.27.4,
US DNS,74.80.201.3,
US DNS,70.100.10.209,
US DNS,173.165.39.1,
US DNS,12.53.59.195,
US DNS,70.62.10.244,
US DNS,216.106.1.3,
US DNS,24.242.131.84,
US DNS,204.11.160.73,
US DNS,192.77.147.10,
US DNS,72.25.142.2,
US DNS,64.183.53.114,
US DNS,204.15.52.15,
US DNS,66.119.61.254,
US DNS,64.5.130.2,
US DNS,12.53.59.196,
US DNS,65.48.112.125,
US DNS,71.46.208.55,
US DNS,24.116.173.115,
US DNS,206.72.207.219,
US DNS,207.177.83.1,
US DNS,74.95.3.117,
US DNS,156.154.71.60,
US DNS,64.9.50.67,
US DNS,216.17.203.121,
US DNS,216.114.201.211,
US DNS,209.105.243.44,
US DNS,68.142.92.100,
US DNS,64.183.101.179,
US DNS,108.162.27.234,
US DNS,209.248.119.45,
US DNS,209.161.120.70,
US DNS,50.244.6.75,
US DNS,23.25.118.169,
US DNS,162.249.49.203,
US DNS,50.195.54.58,
US DNS,66.135.36.217,
US DNS,208.106.131.28,
US DNS,69.28.248.106,
US DNS,66.135.36.230,
US DNS,184.177.183.193,
US DNS,24.116.173.116,
US DNS,71.252.214.39,
US DNS,208.115.100.218,
US DNS,207.234.132.214,
US DNS,162.17.11.129,
US DNS,50.206.234.54,
US DNS,74.41.209.109,
US DNS,50.79.8.153,
US DNS,24.229.11.2,
US DNS,198.146.127.2,
US DNS,184.74.51.34,
US DNS,23.31.17.9,
US DNS,65.170.128.102,
US DNS,198.64.149.148,
US DNS,208.64.48.10,
US DNS,208.64.48.11,
US DNS,12.49.80.31,
US DNS,209.242.40.14,
US DNS,64.214.116.83,
US DNS,208.180.46.150,
US DNS,199.59.101.108,
US DNS,207.200.49.29,
US DNS,64.214.116.93,
US DNS,98.191.109.180,
US DNS,199.19.85.41,
US DNS,74.212.202.227,
US DNS,192.254.74.201,
US DNS,64.214.116.88,
US DNS,104.36.237.205,
US DNS,204.110.10.12,
US DNS,184.159.184.0,
US DNS,74.84.64.170,
US DNS,72.43.42.162,
US DNS,207.234.132.209,
US DNS,74.92.204.89,
US DNS,207.224.154.141,
US DNS,207.234.132.213,
US DNS,96.58.248.43,
US DNS,64.214.116.86,
US DNS,50.106.57.201,
US DNS,204.97.128.2,
US DNS,184.191.183.11,
US DNS,96.31.248.20,
US DNS,63.134.253.121,
US DNS,50.106.57.199,
US DNS,204.110.10.5,
US DNS,198.251.100.2,
US DNS,50.57.219.200,
US DNS,208.106.131.31,
US DNS,204.97.128.6,
US DNS,204.97.128.8,
US DNS,208.180.46.147,
US DNS,208.67.158.69,
US DNS,50.241.97.210,
US DNS,64.214.116.81,
US DNS,74.62.251.163,
US DNS,38.102.68.227,
US DNS,67.207.157.115,
US DNS,23.119.144.193,
US DNS,69.50.192.173,
US DNS,204.97.128.4,
US DNS,4.26.51.113,
US DNS,67.63.158.202,
US DNS,64.53.251.94,
US DNS,74.204.181.228,
US DNS,208.70.124.3,
US DNS,72.15.196.220,
US DNS,66.175.146.133,
US DNS,50.58.22.30,
US DNS,12.27.37.150,
US DNS,69.50.192.129,
US DNS,70.186.153.38,
US DNS,75.103.118.24,
US DNS,204.186.80.193,
US DNS,65.39.166.198,
US DNS,69.50.192.144,
US DNS,198.27.10.129,
US DNS,173.209.77.10,
US DNS,65.111.222.65,
US DNS,204.97.128.12,
US DNS,209.105.243.42,
US DNS,108.160.51.97,
US DNS,173.197.77.20,
US DNS,65.103.162.125,
US DNS,66.194.146.101,
US DNS,204.114.1.71,
US DNS,207.154.29.134,
US DNS,108.160.51.161,
US DNS,50.194.217.241,
US DNS,76.79.198.86,
US DNS,173.15.1.177,
US DNS,65.111.222.3,
US DNS,198.180.132.26,
US DNS,74.67.99.64,
US DNS,12.226.218.130,
US DNS,107.155.83.20,
US DNS,198.24.10.91,
US DNS,108.245.44.26,
US DNS,108.175.9.242,
US DNS,199.15.131.51,
US DNS,204.114.1.70,
US DNS,206.137.183.191,
US DNS,75.148.132.237,
US DNS,67.59.202.164,
US DNS,12.153.219.131,
US DNS,18.39.0.205,
US DNS,75.103.96.94,
US DNS,75.103.96.165,
US DNS,198.186.8.178,
US DNS,158.85.163.171,
US DNS,63.228.108.192,
US DNS,198.101.8.254,
US DNS,66.186.188.152,
US DNS,104.131.163.103,
US DNS,149.91.3.151,
US DNS,196.220.41.161,
US DNS,74.223.216.199,
US DNS,216.170.116.144,
US DNS,130.68.20.112,
US DNS,12.53.117.194,
US DNS,206.129.139.2,
US DNS,216.120.131.36,
US DNS,149.91.3.152,
US DNS,74.202.225.85,
US DNS,108.58.180.11,
US DNS,216.66.84.42,
US DNS,75.103.96.95,
US DNS,24.106.250.61,
US DNS,173.167.215.62,
US DNS,75.148.0.105,
US DNS,75.103.96.96,
US DNS,146.113.32.101,
US DNS,98.102.1.122,
US DNS,206.48.140.83,
US DNS,206.48.140.82,
US DNS,75.103.96.83,
US DNS,50.254.107.141,
US DNS,99.48.240.6,
US DNS,200.62.2.190,
US DNS,216.157.22.122,
US DNS,75.103.96.187,
US DNS,50.193.108.157,
US DNS,99.26.255.57,
US DNS,173.167.215.57,
US DNS,12.49.105.66,
US DNS,69.84.243.175,
US DNS,184.17.136.169,
US DNS,208.110.166.150,
US DNS,69.20.134.33,
US DNS,50.77.128.35,
US DNS,216.81.97.190,
US DNS,98.102.1.123,
US DNS,75.148.255.61,
US DNS,216.158.82.136,
US DNS,98.102.1.125,
US DNS,208.187.165.158,
US DNS,97.76.27.235,
US DNS,69.16.169.88,
US DNS,208.97.55.10,
US DNS,216.80.69.244,
US DNS,98.103.245.26,
US DNS,50.193.108.156,
US DNS,138.91.88.191,
US DNS,152.179.104.66,
US DNS,69.41.15.10,
US DNS,173.13.240.105,
US DNS,208.81.55.123,
